municipio,departamento,lat,lon,poblacion,riesgo
Suratá,Santander,7.3667576,-72.9841406,3295,MEDIO
Tona,Santander,7.15363455,-72.9602124126953,7085,MEDIO
Valle De San José,Santander,6.4346425,-73.1128692952179,6355,MEDIO
Vélez,Santander,6.0123632,-73.6729598,19057,MEDIO
Vetas,Santander,7.32082525,-72.8858798035649,2435,ALTO
Zapatoca,Santander,6.8510075,-73.2175583580674,8929,SIN RIESGO
Caimito,Sucre,8.790591,-75.1163176,12077,MEDIO
Chalán,Sucre,9.57205555,-75.3224638374139,4354,BAJO
Coloso,Sucre,9.53763835,-75.3636628711197,5838,SIN RIESGO
Corozal,Sucre,9.3192389,-75.2947262,62409,SIN RIESGO
Coveñas,Sucre,9.41146205,-75.639789293312,13530,BAJO
El Roble,Sucre,9.1037704,-75.1952621,10550,MEDIO
Galeras,Sucre,9.1606864,-75.0487747,20188,ALTO
Guaranda,Sucre,8.39295295,-74.8001174510006,17422,ALTO
Los Palmitos,Sucre,9.3805529,-75.2681334,19257,BAJO
Majagual,Sucre,8.56187075,-74.7294456413385,33258,MEDIO
Morroa,Sucre,9.39162955,-75.3340639964176,14429,ALTO
Palmito,Sucre,9.3332434,-75.5415152,13682,ALTO
Sampués,Sucre,9.15772275,-75.3520478985098,37925,ALTO
San Benito Abad,Sucre,8.9293556,-75.0269099,25442,SIN RIESGO
San Juan De Betulia,Sucre,9.2937547,-75.2276410213059,12544,MEDIO
San Luis De Sincé,Sucre,9.2191217,-75.1292839,33688,SIN RIESGO
San Marcos,Sucre,8.6618609,-75.1307644,57071,SIN RIESGO
San Onofre,Sucre,10.0974871,-75.541148,50214,BAJO
San Pedro,Valle del Cauca,3.452772,-76.5321143587484,18128,MEDIO
Santiago De Tolú,Sucre,9.5241138,-75.5841794,33296,MEDIO
Sincelejo,Sucre,9.31542935,-75.4329805907975,275218,SIN RIESGO
Tolú Viejo,Sucre,9.45082,-75.43864,18897,ALTO
Anzoátegui,Tolima,4.6312166,-75.0938748,18434,MEDIO
Armero,Tolima,4.9550681,-74.9074644,11960,SIN RIESGO
Casabianca,Tolima,5.0784062,-75.1213073,6684,SIN RIESGO
Falan,Tolima,5.08818555,-74.9397798139435,9218,BAJO
Fresno,Tolima,5.1535058,-75.0371423,30284,BAJO
Honda,Tolima,5.2106086,-74.7361304,24781,SIN RIESGO
Ibagué,Tolima,4.4446595,-75.2430012,553526,ALTO
Mariquita,Tolima,5.1969707,-74.8938776,33309,BAJO
Ortega,Tolima,3.93806235,-75.2524528909446,32524,BAJO
Rioblanco,Tolima,3.47378985,-75.8020613492401,24553,MEDIO
Rovira,Tolima,4.19289735,-75.3691031964485,20641,MEDIO
Villarrica,Tolima,3.9606919,-74.6080054,5449,INVIABLE SANITARIAMENTE
Alcalá,Valle del Cauca,4.6748944,-75.781669,21352,MEDIO
Andalucía,Valle del Cauca,4.1694199,-76.1670623,17811,BAJO
Ansermanuevo,Valle del Cauca,4.79058655,-76.0434960469551,19557,MEDIO
Buenaventura,Valle del Cauca,3.6707494,-76.9807757700535,399619,BAJO
Bugalagrande,Valle del Cauca,4.201411,-76.0970158974797,21167,MEDIO
Caicedonia,Valle del Cauca,4.305471,-75.8404757042712,29824,MEDIO
Cali,Valle del Cauca,3.4517923,-76.5324943,2369829,SIN RIESGO
Calima,Valle del Cauca,3.4848867,-76.4999017280985,15763,ALTO
Cartago,Valle del Cauca,4.71133845,-75.9319330890169,132251,BAJO
Dagua,Valle del Cauca,3.65186675,-76.7228927151123,36400,ALTO
El Águila,Valle del Cauca,4.9078333,-76.0421601,11069,ALTO
El Cairo,Valle del Cauca,4.7621884,-76.2207611,9976,ALTO
El Cerrito,Valle del Cauca,3.6829185,-76.3071487,57463,BAJO
El Dovio,Valle del Cauca,4.511899,-76.238102,8508,ALTO
Florida,Valle del Cauca,3.3256006,-76.2370118,58122,MEDIO
Ginebra,Valle del Cauca,3.7489066,-76.2002974662379,21055,ALTO
Guacarí,Valle del Cauca,3.7775365,-76.3018185920617,34522,MEDIO
Guadalajara De Buga,Valle del Cauca,3.9000578,-76.302013,115249,MEDIO
Jamundí,Valle del Cauca,3.22475455,-76.618841826802,119532,BAJO
La Cumbre,Valle del Cauca,3.6962998,-76.5784992086779,11512,MEDIO
